trait_index,differential,foundation,type,detail
25,forgiving :: vengeful,liberty,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
26,wise :: foolish,general,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
27,impulsive :: cautious,purity,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
28,loyal :: traitorous,authority,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
29,creative :: conventional,liberty,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
30,curious :: apathetic,liberty,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
31,rude :: respectful,general,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
32,diligent :: lazy,purity,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=1"
35,emotional :: logical,care,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
42,mischievous :: well behaved,purity,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
42,mischievous :: well behaved,liberty,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
45,kinky :: vanilla,purity,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=1"
45,kinky :: vanilla,general,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
46,straightforward :: cryptic,fairness,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
47,spontaneous :: deliberate,general,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
50,works hard :: plays hard,purity,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
51,reasoned :: instinctual,fairness,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
52,focused on the present :: focused on the future,authority,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
53,empirical :: theoretical,fairness,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
54,open :: guarded,care,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
54,open :: guarded,authority,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
54,open :: guarded,liberty,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
56,mighty :: puny,purity,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
56,mighty :: puny,liberty,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
57,bossy :: meek,liberty,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=1"
58,barbaric :: civilized,care,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
58,barbaric :: civilized,purity,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=1"
61,political :: nonpolitical,fairness,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
61,political :: nonpolitical,liberty,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
63,democratic :: authoritarian,liberty,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=1"
66,frugal :: lavish,purity,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
73,open to new experiences :: uncreative,authority,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
73,open to new experiences :: uncreative,liberty,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
75,disorganized :: self-disciplined,authority,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
79,selfish :: altruistic,care,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=1"
81,angelic :: demonic,purity,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=1"
81,angelic :: demonic,general,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
83,devout :: heathen,liberty,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
94,coordinated :: clumsy,loyalty,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
96,politically correct :: edgy,fairness,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=1"
96,politically correct :: edgy,liberty,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=1"
99,remote :: involved,care,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=1"
99,remote :: involved,liberty,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
104,smooth :: rough,care,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
105,spicy :: mild,authority,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
105,spicy :: mild,liberty,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
106,enslaved :: emancipated,authority,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
110,vain :: demure,general,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
112,flexible :: rigid,authority,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
112,flexible :: rigid,purity,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
113,cosmopolitan :: provincial,general,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
117,sad :: happy,care,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
119,bitter :: sweet,care,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
124,moderate :: extreme,authority,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
124,moderate :: extreme,general,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
126,depressed :: bright,care,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
128,vulnerable :: armoured,care,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=1"
130,assertive :: passive,liberty,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
136,unambitious :: driven,authority,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
139,alpha :: beta,authority,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=1"
142,charismatic :: uninspiring,authority,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
149,sheeple :: conspiracist,loyalty,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
149,sheeple :: conspiracist,authority,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
154,judgemental :: accepting,care,Human=1 / LLM=0 (Human-only consensus),"Fehr=1, Tran=1 | Claude=0, Gemini=0, Deepseek=0"
154,judgemental :: accepting,loyalty,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
154,judgemental :: accepting,authority,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
154,judgemental :: accepting,liberty,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
155,average :: deviant,liberty,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
156,gossiping :: confidential,loyalty,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=1"
157,official :: backdoor,authority,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=1"
163,independent :: codependent,loyalty,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
164,family-first :: work-first,loyalty,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=1"
164,family-first :: work-first,authority,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
166,wild :: tame,authority,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=1"
167,prestigious :: disreputable,authority,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=1"
168,scandalous :: proper,authority,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
171,open-minded :: close-minded,care,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
171,open-minded :: close-minded,fairness,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
171,open-minded :: close-minded,liberty,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
173,dramatic :: no-nonsense,authority,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
174,apprentice :: master,authority,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=1"
175,straight :: queer,purity,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
182,soulless :: soulful,care,Human=1 / LLM=0 (Human-only consensus),"Fehr=1, Tran=1 | Claude=0, Gemini=0, Deepseek=0"
182,soulless :: soulful,purity,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
186,idealist :: realist,fairness,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
195,individualist :: communal,fairness,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
199,resourceful :: helpless,liberty,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
201,anarchist :: statist,authority,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=1"
207,introspective :: not introspective,care,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
210,mad :: glad,care,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
211,social :: reclusive,loyalty,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
215,liberal :: conservative,liberty,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=1"
216,unassuming :: pretentious,fairness,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
217,persistent :: quitter,liberty,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
220,tactful :: indiscreet,purity,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
222,joyful :: miserable,care,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
224,alert :: oblivious,purity,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
225,feminist :: sexist,liberty,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
228,formal :: intimate,purity,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
229,resolute :: wavering,loyalty,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
235,legit :: scrub,purity,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
241,traumatized :: flourishing,care,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=1"
242,sturdy :: flimsy,loyalty,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
251,oppressed :: privileged,care,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
251,oppressed :: privileged,authority,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=1"
252,sunny :: gloomy,care,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
253,vegan :: cannibal,care,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=1"
253,vegan :: cannibal,purity,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=1"
254,loveable :: punchable,care,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=1"
258,consistent :: variable,loyalty,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
262,knowledgeable :: ignorant,fairness,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
266,perceptive :: unobservant,care,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
267,folksy :: presidential,authority,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
268,corporate :: freelance,liberty,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=1"
271,narcissistic :: low self esteem,care,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
275,whippersnapper :: sage,authority,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
278,experimental :: reliable,loyalty,Human=1 / LLM=0 (Human-only consensus),"Fehr=1, Tran=1 | Claude=0, Gemini=0, Deepseek=0"
279,moist :: dry,purity,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
280,trolling :: triggered,care,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=1"
281,tattle-tale :: f***-the-police,authority,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=1"
285,factual :: exaggerating,fairness,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=1"
289,interrupting :: attentive,general,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
290,exhibitionist :: bashful,purity,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=1"
297,envious :: prideful,general,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
298,ironic :: profound,care,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
302,haunted :: blissful,purity,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
304,ambitious :: realistic,authority,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
305,stuck-in-the-past :: forward-thinking,authority,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=1"
306,fire :: water,care,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
308,lover :: fighter,general,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
313,thinker :: doer,liberty,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
314,hard-work :: natural-talent,general,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
315,stingy :: generous,care,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
316,stubborn :: accommodating,loyalty,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
316,stubborn :: accommodating,general,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
317,extravagant :: thrifty,purity,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
318,demanding :: unchallenging,liberty,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
319,two-faced :: one-faced,fairness,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=1"
322,chivalrous :: businesslike,authority,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
324,on-time :: tardy,authority,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
325,everyman :: chosen one,loyalty,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
327,protagonist :: antagonist,liberty,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
327,protagonist :: antagonist,general,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=1"
328,devoted :: unfaithful,purity,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
328,devoted :: unfaithful,general,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
329,fearmongering :: reassuring,care,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=1"
331,unemotional :: emotional,care,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
338,bad boy :: white knight,care,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=1"
338,bad boy :: white knight,fairness,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
340,hypochondriac :: stoic,care,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
341,yes-man :: contrarian,loyalty,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
341,yes-man :: contrarian,authority,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=1"
342,giving :: receiving,care,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=1"
347,frank :: sugarcoated,fairness,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
351,radical :: centrist,authority,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=1"
353,love-focused :: money-focused,care,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
354,transparent :: machiavellian,fairness,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=1"
354,transparent :: machiavellian,loyalty,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
354,transparent :: machiavellian,general,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
358,proactive :: reactive,liberty,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
359,prudish :: flirtatious,purity,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=1"
360,innocent :: jaded,purity,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=1"
361,touchy-feely :: distant,care,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
363,quirky :: predictable,authority,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
365,main character :: side character,loyalty,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
366,original :: clichÈ,fairness,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
367,hugs :: handshakes,care,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
369,naughty :: nice,general,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=1"
372,dystopian :: utopian,liberty,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
372,dystopian :: utopian,general,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
373,parental :: childlike,care,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
373,parental :: childlike,authority,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=1"
377,positive :: negative,care,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
381,questioning :: believing,loyalty,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
385,woke :: problematic,care,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
385,woke :: problematic,fairness,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=1"
387,hippie :: militaristic,care,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=1"
387,hippie :: militaristic,authority,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=1"
387,hippie :: militaristic,liberty,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=1"
392,good-manners :: bad-manners,authority,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
392,good-manners :: bad-manners,purity,Human=1 / LLM=0 (Human-only consensus),"Fehr=1, Tran=1 | Claude=0, Gemini=0, Deepseek=0"
395,friendly :: unfriendly,care,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=1"
396,innovative :: routine,liberty,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
397,delicate :: coarse,care,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
397,delicate :: coarse,purity,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=1"
402,spirited :: lifeless,liberty,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
403,outgoing :: withdrawn,authority,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
408,harsh :: gentle,care,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=1"
409,clinical :: heartfelt,care,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=1"
412,fake :: real,general,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
421,foodie :: unenthusiastic about food,purity,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
426,noble :: jovial,general,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
427,blessed :: cursed,purity,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=1"
431,mechanical :: natural,purity,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
437,activist :: nonpartisan,liberty,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=1"
438,photographer :: physicist,loyalty,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
438,photographer :: physicist,authority,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
