index	character	character in latex	character/story	character/story in latex	card url
14	Carol Peletier	Carol Peletier	Carol Peletier/The Walking Dead	Carol Peletier/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Carol-Peletier-1600-364-241.pdf
15	Merle Dixon	Merle Dixon	Merle Dixon/The Walking Dead	Merle Dixon/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Merle-Dixon-1600-364-241.pdf
16	Neal Caffrey	Neal Caffrey	Neal Caffrey/White Collar	Neal Caffrey/White Collar	https://compstorylab.org/archetypometrics/cards/White-Collar-Neal-Caffrey-1600-364-241.pdf
17	Peter Burke	Peter Burke	Peter Burke/White Collar	Peter Burke/White Collar	https://compstorylab.org/archetypometrics/cards/White-Collar-Peter-Burke-1600-364-241.pdf
18	Mozzie	Mozzie	Mozzie/White Collar	Mozzie/White Collar	https://compstorylab.org/archetypometrics/cards/White-Collar-Mozzie-1600-364-241.pdf
19	Elizabeth Burke	Elizabeth Burke	Elizabeth Burke/White Collar	Elizabeth Burke/White Collar	https://compstorylab.org/archetypometrics/cards/White-Collar-Elizabeth-Burke-1600-364-241.pdf
20	Clinton Jones	Clinton Jones	Clinton Jones/White Collar	Clinton Jones/White Collar	https://compstorylab.org/archetypometrics/cards/White-Collar-Clinton-Jones-1600-364-241.pdf
21	Diana Barrigan	Diana Barrigan	Diana Barrigan/White Collar	Diana Barrigan/White Collar	https://compstorylab.org/archetypometrics/cards/White-Collar-Diana-Barrigan-1600-364-241.pdf
22	Dorothy Gale	Dorothy Gale	Dorothy Gale/The Wizard of Oz	Dorothy Gale/The Wizard of Oz	https://compstorylab.org/archetypometrics/cards/The-Wizard-of-Oz-Dorothy-Gale-1600-364-241.pdf
23	The Wizard of Oz	The Wizard of Oz	The Wizard of Oz/The Wizard of Oz	The Wizard of Oz/The Wizard of Oz	https://compstorylab.org/archetypometrics/cards/The-Wizard-of-Oz-The-Wizard-of-Oz-1600-364-241.pdf
24	The Scarecrow	The Scarecrow	The Scarecrow/The Wizard of Oz	The Scarecrow/The Wizard of Oz	https://compstorylab.org/archetypometrics/cards/The-Wizard-of-Oz-The-Scarecrow-1600-364-241.pdf
25	The Tin Man	The Tin Man	The Tin Man/The Wizard of Oz	The Tin Man/The Wizard of Oz	https://compstorylab.org/archetypometrics/cards/The-Wizard-of-Oz-The-Tin-Man-1600-364-241.pdf
26	The Cowardly Lion	The Cowardly Lion	The Cowardly Lion/The Wizard of Oz	The Cowardly Lion/The Wizard of Oz	https://compstorylab.org/archetypometrics/cards/The-Wizard-of-Oz-The-Cowardly-Lion-1600-364-241.pdf
27	The Wicked Witch of the West	The Wicked Witch of the West	The Wicked Witch of the West/The Wizard of Oz	The Wicked Witch of the West/The Wizard of Oz	https://compstorylab.org/archetypometrics/cards/The-Wizard-of-Oz-The-Wicked-Witch-of-the-West-1600-364-241.pdf
28	Jane Villanueva	Jane Villanueva	Jane Villanueva/Jane the Virgin	Jane Villanueva/Jane the Virgin	https://compstorylab.org/archetypometrics/cards/Jane-the-Virgin-Jane-Villanueva-1600-364-241.pdf
29	Xiomara Villanueva	Xiomara Villanueva	Xiomara Villanueva/Jane the Virgin	Xiomara Villanueva/Jane the Virgin	https://compstorylab.org/archetypometrics/cards/Jane-the-Virgin-Xiomara-Villanueva-1600-364-241.pdf
30	Petra Solano	Petra Solano	Petra Solano/Jane the Virgin	Petra Solano/Jane the Virgin	https://compstorylab.org/archetypometrics/cards/Jane-the-Virgin-Petra-Solano-1600-364-241.pdf
31	Alba Villanueva	Alba Villanueva	Alba Villanueva/Jane the Virgin	Alba Villanueva/Jane the Virgin	https://compstorylab.org/archetypometrics/cards/Jane-the-Virgin-Alba-Villanueva-1600-364-241.pdf
32	Rogelio De La Vega	Rogelio De La Vega	Rogelio De La Vega/Jane the Virgin	Rogelio De La Vega/Jane the Virgin	https://compstorylab.org/archetypometrics/cards/Jane-the-Virgin-Rogelio-De-La-Vega-1600-364-241.pdf
33	Rafael Solano	Rafael Solano	Rafael Solano/Jane the Virgin	Rafael Solano/Jane the Virgin	https://compstorylab.org/archetypometrics/cards/Jane-the-Virgin-Rafael-Solano-1600-364-241.pdf
34	Dr. Alan Grant	Dr. Alan Grant	Dr. Alan Grant/Jurassic Park	Dr. Alan Grant/Jurassic Park	https://compstorylab.org/archetypometrics/cards/Jurassic-Park-Dr-Alan-Grant-1600-364-241.pdf
35	Dr. Ellie Sattler	Dr. Ellie Sattler	Dr. Ellie Sattler/Jurassic Park	Dr. Ellie Sattler/Jurassic Park	https://compstorylab.org/archetypometrics/cards/Jurassic-Park-Dr-Ellie-Sattler-1600-364-241.pdf
36	Dr. Ian Malcolm	Dr. Ian Malcolm	Dr. Ian Malcolm/Jurassic Park	Dr. Ian Malcolm/Jurassic Park	https://compstorylab.org/archetypometrics/cards/Jurassic-Park-Dr-Ian-Malcolm-1600-364-241.pdf
37	John Hammond	John Hammond	John Hammond/Jurassic Park	John Hammond/Jurassic Park	https://compstorylab.org/archetypometrics/cards/Jurassic-Park-John-Hammond-1600-364-241.pdf
38	Ray Arnold	Ray Arnold	Ray Arnold/Jurassic Park	Ray Arnold/Jurassic Park	https://compstorylab.org/archetypometrics/cards/Jurassic-Park-Ray-Arnold-1600-364-241.pdf
39	Dennis Nedry	Dennis Nedry	Dennis Nedry/Jurassic Park	Dennis Nedry/Jurassic Park	https://compstorylab.org/archetypometrics/cards/Jurassic-Park-Dennis-Nedry-1600-364-241.pdf
40	Nick Dunne	Nick Dunne	Nick Dunne/Gone Girl	Nick Dunne/Gone Girl	https://compstorylab.org/archetypometrics/cards/Gone-Girl-Nick-Dunne-1600-364-241.pdf
41	Amy Elliott Dunne	Amy Elliott Dunne	Amy Elliott Dunne/Gone Girl	Amy Elliott Dunne/Gone Girl	https://compstorylab.org/archetypometrics/cards/Gone-Girl-Amy-Elliott-Dunne-1600-364-241.pdf
42	Margo Dunne	Margo Dunne	Margo Dunne/Gone Girl	Margo Dunne/Gone Girl	https://compstorylab.org/archetypometrics/cards/Gone-Girl-Margo-Dunne-1600-364-241.pdf
43	Josiah Bartlet	Josiah Bartlet	Josiah Bartlet/The West Wing	Josiah Bartlet/The West Wing	https://compstorylab.org/archetypometrics/cards/The-West-Wing-Josiah-Bartlet-1600-364-241.pdf
44	Leo McGarry	Leo McGarry	Leo McGarry/The West Wing	Leo McGarry/The West Wing	https://compstorylab.org/archetypometrics/cards/The-West-Wing-Leo-McGarry-1600-364-241.pdf
45	Josh Lyman	Josh Lyman	Josh Lyman/The West Wing	Josh Lyman/The West Wing	https://compstorylab.org/archetypometrics/cards/The-West-Wing-Josh-Lyman-1600-364-241.pdf
46	Toby Ziegler	Toby Ziegler	Toby Ziegler/The West Wing	Toby Ziegler/The West Wing	https://compstorylab.org/archetypometrics/cards/The-West-Wing-Toby-Ziegler-1600-364-241.pdf
47	Sam Seaborn	Sam Seaborn	Sam Seaborn/The West Wing	Sam Seaborn/The West Wing	https://compstorylab.org/archetypometrics/cards/The-West-Wing-Sam-Seaborn-1600-364-241.pdf
48	C. J. Cregg	C. J. Cregg	C. J. Cregg/The West Wing	C. J. Cregg/The West Wing	https://compstorylab.org/archetypometrics/cards/The-West-Wing-C-J-Cregg-1600-364-241.pdf
49	Charlie Young	Charlie Young	Charlie Young/The West Wing	Charlie Young/The West Wing	https://compstorylab.org/archetypometrics/cards/The-West-Wing-Charlie-Young-1600-364-241.pdf
50	Donna Moss	Donna Moss	Donna Moss/The West Wing	Donna Moss/The West Wing	https://compstorylab.org/archetypometrics/cards/The-West-Wing-Donna-Moss-1600-364-241.pdf
51	Abbey Bartlet	Abbey Bartlet	Abbey Bartlet/The West Wing	Abbey Bartlet/The West Wing	https://compstorylab.org/archetypometrics/cards/The-West-Wing-Abbey-Bartlet-1600-364-241.pdf
52	Joey Lucas	Joey Lucas	Joey Lucas/The West Wing	Joey Lucas/The West Wing	https://compstorylab.org/archetypometrics/cards/The-West-Wing-Joey-Lucas-1600-364-241.pdf
53	Jennifer Check	Jennifer Check	Jennifer Check/Jennifer's Body	Jennifer Check/Jennifer's Body	https://compstorylab.org/archetypometrics/cards/Jennifers-Body-Jennifer-Check-1600-364-241.pdf
54	Anita 'Needy' Lesnicki	Anita `Needy' Lesnicki	Anita 'Needy' Lesnicki/Jennifer's Body	Anita 'Needy' Lesnicki/Jennifer's Body	https://compstorylab.org/archetypometrics/cards/Jennifers-Body-Anita-Needy-Lesnicki-1600-364-241.pdf
55	Chip Dove	Chip Dove	Chip Dove/Jennifer's Body	Chip Dove/Jennifer's Body	https://compstorylab.org/archetypometrics/cards/Jennifers-Body-Chip-Dove-1600-364-241.pdf
56	Prince Hamlet	Prince Hamlet	Prince Hamlet/Hamlet	Prince Hamlet/Hamlet	https://compstorylab.org/archetypometrics/cards/Hamlet-Prince-Hamlet-1600-364-241.pdf
57	Queen Gertrude	Queen Gertrude	Queen Gertrude/Hamlet	Queen Gertrude/Hamlet	https://compstorylab.org/archetypometrics/cards/Hamlet-Queen-Gertrude-1600-364-241.pdf
58	King Claudius	King Claudius	King Claudius/Hamlet	King Claudius/Hamlet	https://compstorylab.org/archetypometrics/cards/Hamlet-King-Claudius-1600-364-241.pdf
59	Polonius	Polonius	Polonius/Hamlet	Polonius/Hamlet	https://compstorylab.org/archetypometrics/cards/Hamlet-Polonius-1600-364-241.pdf
60	Ophelia	Ophelia	Ophelia/Hamlet	Ophelia/Hamlet	https://compstorylab.org/archetypometrics/cards/Hamlet-Ophelia-1600-364-241.pdf
61	Horatio	Horatio	Horatio/Hamlet	Horatio/Hamlet	https://compstorylab.org/archetypometrics/cards/Hamlet-Horatio-1600-364-241.pdf
62	Tokio	Tokio	Tokio/Money Heist	Tokio/Money Heist	https://compstorylab.org/archetypometrics/cards/Money-Heist-Tokio-1600-364-241.pdf
63	El Profesor	El Profesor	El Profesor/Money Heist	El Profesor/Money Heist	https://compstorylab.org/archetypometrics/cards/Money-Heist-El-Profesor-1600-364-241.pdf
64	Raquel Murillo	Raquel Murillo	Raquel Murillo/Money Heist	Raquel Murillo/Money Heist	https://compstorylab.org/archetypometrics/cards/Money-Heist-Raquel-Murillo-1600-364-241.pdf
65	Berlin	Berlin	Berlin/Money Heist	Berlin/Money Heist	https://compstorylab.org/archetypometrics/cards/Money-Heist-Berlin-1600-364-241.pdf
66	Rio	Rio	Rio/Money Heist	Rio/Money Heist	https://compstorylab.org/archetypometrics/cards/Money-Heist-Rio-1600-364-241.pdf
67	Denver	Denver	Denver/Money Heist	Denver/Money Heist	https://compstorylab.org/archetypometrics/cards/Money-Heist-Denver-1600-364-241.pdf
68	Monica Gaztambide	Monica Gaztambide	Monica Gaztambide/Money Heist	Monica Gaztambide/Money Heist	https://compstorylab.org/archetypometrics/cards/Money-Heist-Monica-Gaztambide-1600-364-241.pdf
69	Arturo Roman	Arturo Roman	Arturo Roman/Money Heist	Arturo Roman/Money Heist	https://compstorylab.org/archetypometrics/cards/Money-Heist-Arturo-Roman-1600-364-241.pdf
70	Helsinki	Helsinki	Helsinki/Money Heist	Helsinki/Money Heist	https://compstorylab.org/archetypometrics/cards/Money-Heist-Helsinki-1600-364-241.pdf
71	Nairobi	Nairobi	Nairobi/Money Heist	Nairobi/Money Heist	https://compstorylab.org/archetypometrics/cards/Money-Heist-Nairobi-1600-364-241.pdf
72	Mitch Buchannon	Mitch Buchannon	Mitch Buchannon/Baywatch	Mitch Buchannon/Baywatch	https://compstorylab.org/archetypometrics/cards/Baywatch-Mitch-Buchannon-1600-364-241.pdf
73	Hobie Buchannon	Hobie Buchannon	Hobie Buchannon/Baywatch	Hobie Buchannon/Baywatch	https://compstorylab.org/archetypometrics/cards/Baywatch-Hobie-Buchannon-1600-364-241.pdf
74	Michael 'Newmie' Newman	Michael `Newmie' Newman	Michael 'Newmie' Newman/Baywatch	Michael 'Newmie' Newman/Baywatch	https://compstorylab.org/archetypometrics/cards/Baywatch-Michael-Newmie-Newman-1600-364-241.pdf
75	C.J. Parker	C.J. Parker	C.J. Parker/Baywatch	C.J. Parker/Baywatch	https://compstorylab.org/archetypometrics/cards/Baywatch-CJ-Parker-1600-364-241.pdf
76	Garner Ellerbee	Garner Ellerbee	Garner Ellerbee/Baywatch	Garner Ellerbee/Baywatch	https://compstorylab.org/archetypometrics/cards/Baywatch-Garner-Ellerbee-1600-364-241.pdf
77	Stephanie Holden	Stephanie Holden	Stephanie Holden/Baywatch	Stephanie Holden/Baywatch	https://compstorylab.org/archetypometrics/cards/Baywatch-Stephanie-Holden-1600-364-241.pdf
78	General Mark R. Naird	General Mark R. Naird	General Mark R. Naird/Space Force	General Mark R. Naird/Space Force	https://compstorylab.org/archetypometrics/cards/Space-Force-General-Mark-R-Naird-1600-364-241.pdf
79	Dr. Adrian Mallory	Dr. Adrian Mallory	Dr. Adrian Mallory/Space Force	Dr. Adrian Mallory/Space Force	https://compstorylab.org/archetypometrics/cards/Space-Force-Dr-Adrian-Mallory-1600-364-241.pdf
80	F. Tony Scarapiducci	F. Tony Scarapiducci	F. Tony Scarapiducci/Space Force	F. Tony Scarapiducci/Space Force	https://compstorylab.org/archetypometrics/cards/Space-Force-F-Tony-Scarapiducci-1600-364-241.pdf
81	Erin Naird	Erin Naird	Erin Naird/Space Force	Erin Naird/Space Force	https://compstorylab.org/archetypometrics/cards/Space-Force-Erin-Naird-1600-364-241.pdf
82	Captain Angela Ali	Captain Angela Ali	Captain Angela Ali/Space Force	Captain Angela Ali/Space Force	https://compstorylab.org/archetypometrics/cards/Space-Force-Captain-Angela-Ali-1600-364-241.pdf
83	Dr. Chan Kaifang	Dr. Chan Kaifang	Dr. Chan Kaifang/Space Force	Dr. Chan Kaifang/Space Force	https://compstorylab.org/archetypometrics/cards/Space-Force-Dr-Chan-Kaifang-1600-364-241.pdf
84	Alexander Hamilton	Alexander Hamilton	Alexander Hamilton/Hamilton	Alexander Hamilton/Hamilton	https://compstorylab.org/archetypometrics/cards/Hamilton-Alexander-Hamilton-1600-364-241.pdf
85	Eliza Hamilton	Eliza Hamilton	Eliza Hamilton/Hamilton	Eliza Hamilton/Hamilton	https://compstorylab.org/archetypometrics/cards/Hamilton-Eliza-Hamilton-1600-364-241.pdf
86	Aaron Burr	Aaron Burr	Aaron Burr/Hamilton	Aaron Burr/Hamilton	https://compstorylab.org/archetypometrics/cards/Hamilton-Aaron-Burr-1600-364-241.pdf
87	Angelica Schuyler	Angelica Schuyler	Angelica Schuyler/Hamilton	Angelica Schuyler/Hamilton	https://compstorylab.org/archetypometrics/cards/Hamilton-Angelica-Schuyler-1600-364-241.pdf
88	George Washington	George Washington	George Washington/Hamilton	George Washington/Hamilton	https://compstorylab.org/archetypometrics/cards/Hamilton-George-Washington-1600-364-241.pdf
89	King George III	King George III	King George III/Hamilton	King George III/Hamilton	https://compstorylab.org/archetypometrics/cards/Hamilton-King-George-III-1600-364-241.pdf
90	Eleanor Shellstrop	Eleanor Shellstrop	Eleanor Shellstrop/The Good Place	Eleanor Shellstrop/The Good Place	https://compstorylab.org/archetypometrics/cards/The-Good-Place-Eleanor-Shellstrop-1600-364-241.pdf
91	Chidi Anagonye	Chidi Anagonye	Chidi Anagonye/The Good Place	Chidi Anagonye/The Good Place	https://compstorylab.org/archetypometrics/cards/The-Good-Place-Chidi-Anagonye-1600-364-241.pdf
92	Tahani Al-Jamil	Tahani Al-Jamil	Tahani Al-Jamil/The Good Place	Tahani Al-Jamil/The Good Place	https://compstorylab.org/archetypometrics/cards/The-Good-Place-Tahani-Al-Jamil-1600-364-241.pdf
93	Janet	Janet	Janet/The Good Place	Janet/The Good Place	https://compstorylab.org/archetypometrics/cards/The-Good-Place-Janet-1600-364-241.pdf
94	Jason Mendoza	Jason Mendoza	Jason Mendoza/The Good Place	Jason Mendoza/The Good Place	https://compstorylab.org/archetypometrics/cards/The-Good-Place-Jason-Mendoza-1600-364-241.pdf
95	Michael	Michael	Michael/The Good Place	Michael/The Good Place	https://compstorylab.org/archetypometrics/cards/The-Good-Place-Michael-1600-364-241.pdf
96	Dr. Gregory House	Dr. Gregory House	Dr. Gregory House/House, M.D.	Dr. Gregory House/House, M.D.	https://compstorylab.org/archetypometrics/cards/House-MD-Dr-Gregory-House-1600-364-241.pdf
97	Dr. Lisa Cuddy	Dr. Lisa Cuddy	Dr. Lisa Cuddy/House, M.D.	Dr. Lisa Cuddy/House, M.D.	https://compstorylab.org/archetypometrics/cards/House-MD-Dr-Lisa-Cuddy-1600-364-241.pdf
98	Dr. James Wilson	Dr. James Wilson	Dr. James Wilson/House, M.D.	Dr. James Wilson/House, M.D.	https://compstorylab.org/archetypometrics/cards/House-MD-Dr-James-Wilson-1600-364-241.pdf
99	Dr. Eric Foreman	Dr. Eric Foreman	Dr. Eric Foreman/House, M.D.	Dr. Eric Foreman/House, M.D.	https://compstorylab.org/archetypometrics/cards/House-MD-Dr-Eric-Foreman-1600-364-241.pdf
100	Dr. Robert Chase	Dr. Robert Chase	Dr. Robert Chase/House, M.D.	Dr. Robert Chase/House, M.D.	https://compstorylab.org/archetypometrics/cards/House-MD-Dr-Robert-Chase-1600-364-241.pdf
101	Dr. Allison Cameron	Dr. Allison Cameron	Dr. Allison Cameron/House, M.D.	Dr. Allison Cameron/House, M.D.	https://compstorylab.org/archetypometrics/cards/House-MD-Dr-Allison-Cameron-1600-364-241.pdf
102	Jay Gatsby	Jay Gatsby	Jay Gatsby/The Great Gatsby	Jay Gatsby/The Great Gatsby	https://compstorylab.org/archetypometrics/cards/The-Great-Gatsby-Jay-Gatsby-1600-364-241.pdf
103	Nick Carraway	Nick Carraway	Nick Carraway/The Great Gatsby	Nick Carraway/The Great Gatsby	https://compstorylab.org/archetypometrics/cards/The-Great-Gatsby-Nick-Carraway-1600-364-241.pdf
104	Daisy Buchanan	Daisy Buchanan	Daisy Buchanan/The Great Gatsby	Daisy Buchanan/The Great Gatsby	https://compstorylab.org/archetypometrics/cards/The-Great-Gatsby-Daisy-Buchanan-1600-364-241.pdf
105	Tom Buchanan	Tom Buchanan	Tom Buchanan/The Great Gatsby	Tom Buchanan/The Great Gatsby	https://compstorylab.org/archetypometrics/cards/The-Great-Gatsby-Tom-Buchanan-1600-364-241.pdf
106	Myrtle Wilson	Myrtle Wilson	Myrtle Wilson/The Great Gatsby	Myrtle Wilson/The Great Gatsby	https://compstorylab.org/archetypometrics/cards/The-Great-Gatsby-Myrtle-Wilson-1600-364-241.pdf
107	Jordan Baker	Jordan Baker	Jordan Baker/The Great Gatsby	Jordan Baker/The Great Gatsby	https://compstorylab.org/archetypometrics/cards/The-Great-Gatsby-Jordan-Baker-1600-364-241.pdf
108	Vito Corleone	Vito Corleone	Vito Corleone/The Godfather	Vito Corleone/The Godfather	https://compstorylab.org/archetypometrics/cards/The-Godfather-Vito-Corleone-1600-364-241.pdf
109	Michael Corleone	Michael Corleone	Michael Corleone/The Godfather	Michael Corleone/The Godfather	https://compstorylab.org/archetypometrics/cards/The-Godfather-Michael-Corleone-1600-364-241.pdf
110	Sonny Corleone	Sonny Corleone	Sonny Corleone/The Godfather	Sonny Corleone/The Godfather	https://compstorylab.org/archetypometrics/cards/The-Godfather-Sonny-Corleone-1600-364-241.pdf
111	Peter Clemenza	Peter Clemenza	Peter Clemenza/The Godfather	Peter Clemenza/The Godfather	https://compstorylab.org/archetypometrics/cards/The-Godfather-Peter-Clemenza-1600-364-241.pdf
112	Tom Hagen	Tom Hagen	Tom Hagen/The Godfather	Tom Hagen/The Godfather	https://compstorylab.org/archetypometrics/cards/The-Godfather-Tom-Hagen-1600-364-241.pdf
113	Emilio Barzini	Emilio Barzini	Emilio Barzini/The Godfather	Emilio Barzini/The Godfather	https://compstorylab.org/archetypometrics/cards/The-Godfather-Emilio-Barzini-1600-364-241.pdf
114	Charlie Harper	Charlie Harper	Charlie Harper/Two and a Half Men	Charlie Harper/Two and a Half Men	https://compstorylab.org/archetypometrics/cards/Two-and-a-Half-Men-Charlie-Harper-1600-364-241.pdf
115	Alan Harper	Alan Harper	Alan Harper/Two and a Half Men	Alan Harper/Two and a Half Men	https://compstorylab.org/archetypometrics/cards/Two-and-a-Half-Men-Alan-Harper-1600-364-241.pdf
116	Jake Harper	Jake Harper	Jake Harper/Two and a Half Men	Jake Harper/Two and a Half Men	https://compstorylab.org/archetypometrics/cards/Two-and-a-Half-Men-Jake-Harper-1600-364-241.pdf
117	Berta	Berta	Berta/Two and a Half Men	Berta/Two and a Half Men	https://compstorylab.org/archetypometrics/cards/Two-and-a-Half-Men-Berta-1600-364-241.pdf
118	Evelyn Harper	Evelyn Harper	Evelyn Harper/Two and a Half Men	Evelyn Harper/Two and a Half Men	https://compstorylab.org/archetypometrics/cards/Two-and-a-Half-Men-Evelyn-Harper-1600-364-241.pdf
119	Judith Harper-Melnick	Judith Harper-Melnick	Judith Harper-Melnick/Two and a Half Men	Judith Harper-Melnick/Two and a Half Men	https://compstorylab.org/archetypometrics/cards/Two-and-a-Half-Men-Judith-Harper-Melnick-1600-364-241.pdf
120	Peter Venkman	Peter Venkman	Peter Venkman/Ghostbusters	Peter Venkman/Ghostbusters	https://compstorylab.org/archetypometrics/cards/Ghostbusters-Peter-Venkman-1600-364-241.pdf
121	Ray Stantz	Ray Stantz	Ray Stantz/Ghostbusters	Ray Stantz/Ghostbusters	https://compstorylab.org/archetypometrics/cards/Ghostbusters-Ray-Stantz-1600-364-241.pdf
122	Egon Spengler	Egon Spengler	Egon Spengler/Ghostbusters	Egon Spengler/Ghostbusters	https://compstorylab.org/archetypometrics/cards/Ghostbusters-Egon-Spengler-1600-364-241.pdf
123	Dana Barrett	Dana Barrett	Dana Barrett/Ghostbusters	Dana Barrett/Ghostbusters	https://compstorylab.org/archetypometrics/cards/Ghostbusters-Dana-Barrett-1600-364-241.pdf
124	Louis Tully	Louis Tully	Louis Tully/Ghostbusters	Louis Tully/Ghostbusters	https://compstorylab.org/archetypometrics/cards/Ghostbusters-Louis-Tully-1600-364-241.pdf
125	Meredith Grey	Meredith Grey	Meredith Grey/Grey's Anatomy	Meredith Grey/Grey's Anatomy	https://compstorylab.org/archetypometrics/cards/Greys-Anatomy-Meredith-Grey-1600-364-241.pdf
126	Cristina Yang	Cristina Yang	Cristina Yang/Grey's Anatomy	Cristina Yang/Grey's Anatomy	https://compstorylab.org/archetypometrics/cards/Greys-Anatomy-Cristina-Yang-1600-364-241.pdf
127	Izzie Stevens	Izzie Stevens	Izzie Stevens/Grey's Anatomy	Izzie Stevens/Grey's Anatomy	https://compstorylab.org/archetypometrics/cards/Greys-Anatomy-Izzie-Stevens-1600-364-241.pdf
128	Alex Karev	Alex Karev	Alex Karev/Grey's Anatomy	Alex Karev/Grey's Anatomy	https://compstorylab.org/archetypometrics/cards/Greys-Anatomy-Alex-Karev-1600-364-241.pdf
129	George O'Malley	George O'Malley	George O'Malley/Grey's Anatomy	George O'Malley/Grey's Anatomy	https://compstorylab.org/archetypometrics/cards/Greys-Anatomy-George-OMalley-1600-364-241.pdf
130	Miranda Bailey	Miranda Bailey	Miranda Bailey/Grey's Anatomy	Miranda Bailey/Grey's Anatomy	https://compstorylab.org/archetypometrics/cards/Greys-Anatomy-Miranda-Bailey-1600-364-241.pdf
131	Richard Webber	Richard Webber	Richard Webber/Grey's Anatomy	Richard Webber/Grey's Anatomy	https://compstorylab.org/archetypometrics/cards/Greys-Anatomy-Richard-Webber-1600-364-241.pdf
132	Preston Burke	Preston Burke	Preston Burke/Grey's Anatomy	Preston Burke/Grey's Anatomy	https://compstorylab.org/archetypometrics/cards/Greys-Anatomy-Preston-Burke-1600-364-241.pdf
133	Derek Shepherd	Derek Shepherd	Derek Shepherd/Grey's Anatomy	Derek Shepherd/Grey's Anatomy	https://compstorylab.org/archetypometrics/cards/Greys-Anatomy-Derek-Shepherd-1600-364-241.pdf
134	Addison Montgomery	Addison Montgomery	Addison Montgomery/Grey's Anatomy	Addison Montgomery/Grey's Anatomy	https://compstorylab.org/archetypometrics/cards/Greys-Anatomy-Addison-Montgomery-1600-364-241.pdf
135	Chris Washington	Chris Washington	Chris Washington/Get Out	Chris Washington/Get Out	https://compstorylab.org/archetypometrics/cards/Get-Out-Chris-Washington-1600-364-241.pdf
136	Rose Armitage	Rose Armitage	Rose Armitage/Get Out	Rose Armitage/Get Out	https://compstorylab.org/archetypometrics/cards/Get-Out-Rose-Armitage-1600-364-241.pdf
137	Dean Armitage	Dean Armitage	Dean Armitage/Get Out	Dean Armitage/Get Out	https://compstorylab.org/archetypometrics/cards/Get-Out-Dean-Armitage-1600-364-241.pdf
138	Jeremy Armitage	Jeremy Armitage	Jeremy Armitage/Get Out	Jeremy Armitage/Get Out	https://compstorylab.org/archetypometrics/cards/Get-Out-Jeremy-Armitage-1600-364-241.pdf
139	Missy Armitage	Missy Armitage	Missy Armitage/Get Out	Missy Armitage/Get Out	https://compstorylab.org/archetypometrics/cards/Get-Out-Missy-Armitage-1600-364-241.pdf
