trait_index	differential	agreed foundation	divergence
81	angelic :: demonic	purity, general	care (deepseek_deepseek-v4-flash, gemini_gemini-2.5-flash only), fairness (gemini_gemini-2.5-flash only), loyalty (gemini_gemini-2.5-flash only), authority (gemini_gemini-2.5-flash only), liberty (gemini_gemini-2.5-flash only)
82	hesitant :: decisive		authority (gemini_gemini-2.5-flash only)
83	devout :: heathen	purity	loyalty (gemini_gemini-2.5-flash only), authority (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), general (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
84	cruel :: kind	care	fairness (gemini_gemini-2.5-flash only), liberty (gemini_gemini-2.5-flash only), general (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
85	direct :: roundabout		fairness (gemini_gemini-2.5-flash only)
88	slovenly :: stylish		purity (deepseek_deepseek-v4-flash, gemini_gemini-2.5-flash only)
90	serious :: bold		authority (gemini_gemini-2.5-flash only), liberty (gemini_gemini-2.5-flash only)
91	charming :: trusting		care (gemini_gemini-2.5-flash only), fairness (gemini_gemini-2.5-flash only), loyalty (gemini_gemini-2.5-flash only), general (gemini_gemini-2.5-flash only)
92	awkward :: suspicious		loyalty (gemini_gemini-2.5-flash only)
96	politically correct :: edgy	fairness, liberty	care (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), authority (gemini_gemini-2.5-flash only), purity (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), general (gemini_gemini-2.5-flash only)
97	rich :: poor		fairness (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), authority (gemini_gemini-2.5-flash only), liberty (gemini_gemini-2.5-flash only)
98	hard :: soft		care (deepseek_deepseek-v4-flash, gemini_gemini-2.5-flash only), authority (gemini_gemini-2.5-flash only)
99	remote :: involved	care	loyalty (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), authority (gemini_gemini-2.5-flash only)
101	biased :: impartial	fairness	
106	enslaved :: emancipated	liberty	care (claude_claude-sonnet-4-6 only), fairness (claude_claude-sonnet-4-6 only)
108	sickly :: healthy	purity	
110	vain :: demure		purity (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
113	cosmopolitan :: provincial		loyalty (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
114	arcane :: mainstream		authority (gemini_gemini-2.5-flash only)
115	outlaw :: sheriff	authority	fairness (claude_claude-sonnet-4-6 only), liberty (claude_claude-sonnet-4-6 only)
116	pronatalist :: child free		loyalty (gemini_gemini-2.5-flash only), liberty (claude_claude-sonnet-4-6 only)
118	jealous :: compersive		care (claude_claude-sonnet-4-6 only)
120	resigned :: resistant	liberty	authority (gemini_gemini-2.5-flash only)
121	sarcastic :: genuine		fairness (claude_claude-sonnet-4-6 only), general (gemini_gemini-2.5-flash only)
122	human :: animalistic	purity	
124	moderate :: extreme		purity (gemini_gemini-2.5-flash only)
125	angry :: good-humored		care (claude_claude-sonnet-4-6 only)
128	vulnerable :: armoured	care	
129	warm :: cold	care	
131	active :: slothful		purity (claude_claude-sonnet-4-6 only)
134	obedient :: rebellious	authority	liberty (claude_claude-sonnet-4-6 only)
138	proletariat :: bourgeoisie	authority	fairness (claude_claude-sonnet-4-6 only), liberty (claude_claude-sonnet-4-6 only)
139	alpha :: beta	authority	liberty (claude_claude-sonnet-4-6 only)
141	thick-skinned :: sensitive		care (claude_claude-sonnet-4-6, deepseek_deepseek-v4-flash only)
142	charismatic :: uninspiring	authority	
143	feisty :: gracious		care (deepseek_deepseek-v4-flash only)
146	insider :: outsider	loyalty	fairness (claude_claude-sonnet-4-6 only)
149	sheeple :: conspiracist	authority	liberty (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
150	neat :: messy	purity	
153	modern :: historical		authority (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
154	judgemental :: accepting		fairness (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), purity (gemini_gemini-2.5-flash only), general (gemini_gemini-2.5-flash only)
155	average :: deviant		authority (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), purity (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), general (gemini_gemini-2.5-flash only)
156	gossiping :: confidential	loyalty	fairness (claude_claude-sonnet-4-6 only), general (gemini_gemini-2.5-flash only)
157	official :: backdoor	authority	fairness (claude_claude-sonnet-4-6 only), general (gemini_gemini-2.5-flash only)
158	scholarly :: crafty		general (gemini_gemini-2.5-flash only)
161	captain :: first-mate	authority	
163	independent :: codependent		liberty (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
164	family-first :: work-first	loyalty	care (claude_claude-sonnet-4-6 only)
165	scruffy :: manicured	purity	
166	wild :: tame	authority	purity (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), liberty (claude_claude-sonnet-4-6 only)
167	prestigious :: disreputable	authority	general (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
168	scandalous :: proper	authority, purity	general (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
169	unprepared :: hoarder		fairness (claude_claude-sonnet-4-6 only)
171	open-minded :: close-minded	fairness	
174	apprentice :: master	authority	
175	straight :: queer	purity	fairness (claude_claude-sonnet-4-6 only), authority (gemini_gemini-2.5-flash only), liberty (claude_claude-sonnet-4-6 only)
176	androgynous :: gendered		purity (claude_claude-sonnet-4-6 only), liberty (claude_claude-sonnet-4-6 only)
178	patient :: impatient		care (claude_claude-sonnet-4-6 only), general (gemini_gemini-2.5-flash only)
179	poisonous :: nurturing	care	purity (claude_claude-sonnet-4-6 only), general (gemini_gemini-2.5-flash only)
180	creepy :: disarming		care (gemini_gemini-2.5-flash only), purity (claude_claude-sonnet-4-6 only), general (gemini_gemini-2.5-flash only)
181	inspiring :: cringeworthy		purity (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), general (deepseek_deepseek-v4-flash, gemini_gemini-2.5-flash only)
182	soulless :: soulful	purity	general (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
183	beautiful :: ugly		purity (claude_claude-sonnet-4-6 only)
185	juvenile :: mature		authority (claude_claude-sonnet-4-6 only), purity (gemini_gemini-2.5-flash only), general (deepseek_deepseek-v4-flash, gemini_gemini-2.5-flash only)
186	idealist :: realist		purity (gemini_gemini-2.5-flash only), general (gemini_gemini-2.5-flash only)
187	nihilist :: existentialist		purity (gemini_gemini-2.5-flash only), liberty (gemini_gemini-2.5-flash only), general (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
188	objective :: subjective		fairness (claude_claude-sonnet-4-6 only)
189	theist :: atheist		authority (claude_claude-sonnet-4-6 only), purity (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
190	classical :: avant-garde		authority (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), liberty (gemini_gemini-2.5-flash only)
194	complimentary :: insulting	care	authority (claude_claude-sonnet-4-6 only), general (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
195	individualist :: communal	loyalty	liberty (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
196	equitable :: hypocritical	fairness	general (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
197	traditional :: unorthodox	authority	liberty (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
198	workaholic :: slacker		purity (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), general (deepseek_deepseek-v4-flash, gemini_gemini-2.5-flash only)
199	resourceful :: helpless		care (claude_claude-sonnet-4-6 only), general (gemini_gemini-2.5-flash only)
201	anarchist :: statist	authority, liberty	
205	deranged :: reasonable		general (deepseek_deepseek-v4-flash only)
212	studious :: goof-off		purity (deepseek_deepseek-v4-flash, gemini_gemini-2.5-flash only), general (gemini_gemini-2.5-flash only)
213	slugabed :: go-getter		purity (deepseek_deepseek-v4-flash, gemini_gemini-2.5-flash only), general (gemini_gemini-2.5-flash only)
214	penny-pincher :: overspender		purity (deepseek_deepseek-v4-flash, gemini_gemini-2.5-flash only), general (gemini_gemini-2.5-flash only)
215	liberal :: conservative	authority, liberty	fairness (gemini_gemini-2.5-flash only), loyalty (gemini_gemini-2.5-flash only), purity (gemini_gemini-2.5-flash only)
216	unassuming :: pretentious		purity (deepseek_deepseek-v4-flash, gemini_gemini-2.5-flash only), general (gemini_gemini-2.5-flash only)
217	persistent :: quitter		purity (deepseek_deepseek-v4-flash, gemini_gemini-2.5-flash only), general (gemini_gemini-2.5-flash only)
218	hedonist :: monastic	purity	general (gemini_gemini-2.5-flash only)
219	patriotic :: unpatriotic	loyalty	
220	tactful :: indiscreet		care (claude_claude-sonnet-4-6, deepseek_deepseek-v4-flash only), general (gemini_gemini-2.5-flash only)
221	wholesome :: salacious	purity	general (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
225	feminist :: sexist	fairness, liberty	
226	racist :: egalitarian	fairness	care (claude_claude-sonnet-4-6 only), liberty (claude_claude-sonnet-4-6 only), general (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
228	formal :: intimate		authority (claude_claude-sonnet-4-6 only)
232	minimalist :: pack rat		purity (gemini_gemini-2.5-flash only)
233	trash :: treasure		purity (gemini_gemini-2.5-flash only)
234	stinky :: fresh	purity	
235	legit :: scrub		general (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
236	self-destructive :: self-improving	purity	care (claude_claude-sonnet-4-6 only), general (gemini_gemini-2.5-flash only)
241	traumatized :: flourishing	care	general (gemini_gemini-2.5-flash only)
243	macho :: metrosexual		authority (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), purity (claude_claude-sonnet-4-6 only)
245	offended :: chill		general (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
248	lost :: enlightened		purity (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), general (gemini_gemini-2.5-flash only)
249	masochistic :: pain-avoidant		care (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), purity (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), general (gemini_gemini-2.5-flash only)
251	oppressed :: privileged	care, fairness, authority, liberty	general (gemini_gemini-2.5-flash only)
253	vegan :: cannibal	care, purity	general (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
254	loveable :: punchable	care	general (gemini_gemini-2.5-flash only)
258	consistent :: variable		fairness (gemini_gemini-2.5-flash only), authority (gemini_gemini-2.5-flash only), general (gemini_gemini-2.5-flash only)
259	dispassionate :: romantic		care (gemini_gemini-2.5-flash only), loyalty (gemini_gemini-2.5-flash only)
262	knowledgeable :: ignorant		general (gemini_gemini-2.5-flash only)
265	secretive :: open-book		fairness (gemini_gemini-2.5-flash only), loyalty (gemini_gemini-2.5-flash only), general (gemini_gemini-2.5-flash only)
267	folksy :: presidential	authority	loyalty (gemini_gemini-2.5-flash only)
268	corporate :: freelance	authority, liberty	loyalty (gemini_gemini-2.5-flash only)
270	loose :: tight		authority (gemini_gemini-2.5-flash only), liberty (gemini_gemini-2.5-flash only)
271	narcissistic :: low self esteem	care	fairness (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), loyalty (gemini_gemini-2.5-flash only), authority (gemini_gemini-2.5-flash only), liberty (gemini_gemini-2.5-flash only), general (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
275	whippersnapper :: sage	authority	general (gemini_gemini-2.5-flash only)
278	experimental :: reliable		general (deepseek_deepseek-v4-flash only)
280	trolling :: triggered	care	
281	tattle-tale :: f***-the-police	authority, liberty	loyalty (claude_claude-sonnet-4-6, deepseek_deepseek-v4-flash only)
282	punk rock :: preppy		authority (claude_claude-sonnet-4-6, deepseek_deepseek-v4-flash only), liberty (claude_claude-sonnet-4-6, deepseek_deepseek-v4-flash only)
285	factual :: exaggerating	fairness	general (gemini_gemini-2.5-flash only)
289	interrupting :: attentive		care (claude_claude-sonnet-4-6, deepseek_deepseek-v4-flash only), authority (deepseek_deepseek-v4-flash, gemini_gemini-2.5-flash only)
290	exhibitionist :: bashful	purity	
291	badass :: weakass		authority (gemini_gemini-2.5-flash only), liberty (gemini_gemini-2.5-flash only)
297	envious :: prideful	general	fairness (claude_claude-sonnet-4-6, deepseek_deepseek-v4-flash only)
299	sexual :: asexual		purity (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
300	clean :: perverted	purity	general (claude_claude-sonnet-4-6 only)
301	empath :: psychopath	care	general (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
302	haunted :: blissful		care (gemini_gemini-2.5-flash only)
303	entitled :: grateful		fairness (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), authority (gemini_gemini-2.5-flash only), purity (gemini_gemini-2.5-flash only), general (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
305	stuck-in-the-past :: forward-thinking	authority	
308	lover :: fighter		care (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
312	freak :: normie	purity	authority (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), liberty (claude_claude-sonnet-4-6 only)
314	hard-work :: natural-talent		fairness (claude_claude-sonnet-4-6 only)
315	stingy :: generous	care	fairness (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), general (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
316	stubborn :: accommodating		fairness (gemini_gemini-2.5-flash only), authority (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
317	extravagant :: thrifty	purity	
318	demanding :: unchallenging		authority (claude_claude-sonnet-4-6 only)
319	two-faced :: one-faced	fairness	loyalty (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), purity (gemini_gemini-2.5-flash only), general (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
320	plastic :: wooden		purity (deepseek_deepseek-v4-flash only)
321	neutral :: opinionated		fairness (gemini_gemini-2.5-flash only)
322	chivalrous :: businesslike	authority	care (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), purity (claude_claude-sonnet-4-6 only), general (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
323	high standards :: desperate		purity (claude_claude-sonnet-4-6 only)
324	on-time :: tardy	authority	fairness (claude_claude-sonnet-4-6 only)
325	everyman :: chosen one		fairness (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), authority (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
326	jealous :: opinionated		fairness (deepseek_deepseek-v4-flash only)
327	protagonist :: antagonist	general	
328	devoted :: unfaithful	loyalty	authority (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
329	fearmongering :: reassuring	care	
333	genocidal :: not genocidal	care	fairness (claude_claude-sonnet-4-6 only), loyalty (claude_claude-sonnet-4-6 only), liberty (claude_claude-sonnet-4-6 only), general (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
338	bad boy :: white knight	care	authority (deepseek_deepseek-v4-flash, gemini_gemini-2.5-flash only), purity (claude_claude-sonnet-4-6 only), general (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
339	princess :: queen		authority (claude_claude-sonnet-4-6, deepseek_deepseek-v4-flash only)
341	yes-man :: contrarian	authority	liberty (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
342	giving :: receiving	care	fairness (claude_claude-sonnet-4-6 only)
345	goth :: flower child		care (deepseek_deepseek-v4-flash only)
347	frank :: sugarcoated	fairness	general (gemini_gemini-2.5-flash only)
351	radical :: centrist	authority, liberty	loyalty (gemini_gemini-2.5-flash only), general (gemini_gemini-2.5-flash only)
353	love-focused :: money-focused	care	general (deepseek_deepseek-v4-flash only)
354	transparent :: machiavellian	fairness, general	
359	prudish :: flirtatious	purity	
360	innocent :: jaded	purity	general (deepseek_deepseek-v4-flash, gemini_gemini-2.5-flash only)
361	touchy-feely :: distant	care	
362	muddy :: washed	purity	
364	never cries :: often crying		care (gemini_gemini-2.5-flash only)
367	hugs :: handshakes	care	
368	homebody :: world traveler		loyalty (gemini_gemini-2.5-flash only), liberty (claude_claude-sonnet-4-6 only)
369	naughty :: nice	general	care (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), purity (claude_claude-sonnet-4-6, deepseek_deepseek-v4-flash only)
370	junkie :: straight edge	purity	general (deepseek_deepseek-v4-flash only)
372	dystopian :: utopian	liberty, general	care (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), fairness (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), authority (deepseek_deepseek-v4-flash only)
373	parental :: childlike	care, authority	purity (deepseek_deepseek-v4-flash, gemini_gemini-2.5-flash only)
376	capitalist :: communist		care (gemini_gemini-2.5-flash only), fairness (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), loyalty (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), authority (gemini_gemini-2.5-flash only), liberty (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), general (gemini_gemini-2.5-flash only)
377	positive :: negative		general (deepseek_deepseek-v4-flash, gemini_gemini-2.5-flash only)
378	grounded :: fantasy-prone		general (gemini_gemini-2.5-flash only)
379	thinker :: feeler		care (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
380	insightful :: generic		general (gemini_gemini-2.5-flash only)
381	questioning :: believing		authority (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
382	proud :: apologetic		loyalty (gemini_gemini-2.5-flash only), authority (gemini_gemini-2.5-flash only)
385	woke :: problematic	care, fairness	loyalty (gemini_gemini-2.5-flash only), authority (gemini_gemini-2.5-flash only), purity (gemini_gemini-2.5-flash only), liberty (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), general (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
387	hippie :: militaristic	care, authority, liberty	loyalty (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), purity (claude_claude-sonnet-4-6 only), general (gemini_gemini-2.5-flash only)
388	gluttonous :: moderate	purity	general (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
389	flawed :: perfect		purity (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), general (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
392	good-manners :: bad-manners	authority, general	
393	evolutionist :: creationist		authority (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), purity (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
395	friendly :: unfriendly	care	general (gemini_gemini-2.5-flash only)
396	innovative :: routine		authority (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
397	delicate :: coarse	purity	general (gemini_gemini-2.5-flash only)
398	resentful :: euphoric		fairness (gemini_gemini-2.5-flash only), liberty (gemini_gemini-2.5-flash only)
399	uptight :: easy		authority (gemini_gemini-2.5-flash only), purity (gemini_gemini-2.5-flash only)
400	blue :: red		care (claude_claude-sonnet-4-6 only), fairness (claude_claude-sonnet-4-6 only), loyalty (claude_claude-sonnet-4-6 only), authority (claude_claude-sonnet-4-6 only), purity (claude_claude-sonnet-4-6 only), liberty (claude_claude-sonnet-4-6 only)
404	Hates PDA :: Constant PDA		purity (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
406	sloppy :: fussy		purity (gemini_gemini-2.5-flash only)
408	harsh :: gentle	care	
409	clinical :: heartfelt	care	
410	inappropriate :: seemly	purity	authority (claude_claude-sonnet-4-6 only), general (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
412	fake :: real	general	fairness (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), loyalty (gemini_gemini-2.5-flash only)
413	popular :: rejected		care (gemini_gemini-2.5-flash only), fairness (gemini_gemini-2.5-flash only), loyalty (gemini_gemini-2.5-flash only)
414	catty :: supportive	care	general (claude_claude-sonnet-4-6 only)
415	chronically single :: serial dater		purity (gemini_gemini-2.5-flash only)
420	divine :: earthly	purity	
422	chill :: sassy		authority (gemini_gemini-2.5-flash only)
423	glamorous :: spartan		purity (deepseek_deepseek-v4-flash, gemini_gemini-2.5-flash only)
424	prankster :: anti-prank		care (gemini_gemini-2.5-flash only), loyalty (gemini_gemini-2.5-flash only), purity (gemini_gemini-2.5-flash only), general (gemini_gemini-2.5-flash only)
426	noble :: jovial	general	purity (gemini_gemini-2.5-flash only)
427	blessed :: cursed	purity	general (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
428	forward :: repressed		purity (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), liberty (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
429	entrepreneur :: employee		authority (claude_claude-sonnet-4-6 only), liberty (claude_claude-sonnet-4-6, deepseek_deepseek-v4-flash only)
431	mechanical :: natural	purity	
432	minds-own-business :: snoops		fairness (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), liberty (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
433	prying :: unmeddlesome		fairness (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), liberty (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
434	leader :: follower	authority	
436	green thumb :: plant-neglecter		care (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
437	activist :: nonpartisan	liberty	care (gemini_gemini-2.5-flash only), fairness (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), loyalty (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), authority (gemini_gemini-2.5-flash only), purity (gemini_gemini-2.5-flash only), general (gemini_gemini-2.5-flash only)
440	pointless :: meaningful	general	purity (gemini_gemini-2.5-flash only)
441	focused :: absentminded		purity (deepseek_deepseek-v4-flash only)
445	all-seeing :: blind		authority (claude_claude-sonnet-4-6 only)
446	engineerial :: lawyerly		fairness (claude_claude-sonnet-4-6 only), authority (claude_claude-sonnet-4-6 only)
447	love shy :: cassanova	purity	
448	disturbing :: enchanting		care (gemini_gemini-2.5-flash only), purity (claude_claude-sonnet-4-6 only)
449	maverick :: conformist	authority, liberty	
450	social climber :: nonconformist	authority, liberty	
451	social chameleon :: strong identity		loyalty (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), purity (gemini_gemini-2.5-flash only), general (gemini_gemini-2.5-flash only)
453	sincere :: irreverent	authority	fairness (claude_claude-sonnet-4-6, deepseek_deepseek-v4-flash only), purity (gemini_gemini-2.5-flash only), general (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
456	stereotypical :: boundary breaking	authority	liberty (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
459	likes change :: resists change	authority	
461	old-fashioned :: progressive	authority	liberty (claude_claude-sonnet-4-6 only)
462	gross :: hygienic	purity	
463	stable :: unstable		authority (deepseek_deepseek-v4-flash only)
