index	differential	flipped differential	left pole	right pole	card url
36	moody :: stable	stable :: moody	moody	stable	https://compstorylab.org/archetypometrics/cards/moody--stable-2000-464-341.pdf
37	dunce :: genius	genius :: dunce	dunce	genius	https://compstorylab.org/archetypometrics/cards/dunce--genius-2000-464-341.pdf
38	arrogant :: humble	humble :: arrogant	arrogant	humble	https://compstorylab.org/archetypometrics/cards/arrogant--humble-2000-464-341.pdf
39	heroic :: villainous	villainous :: heroic	heroic	villainous	https://compstorylab.org/archetypometrics/cards/heroic--villainous-2000-464-341.pdf
40	attractive :: repulsive	repulsive :: attractive	attractive	repulsive	https://compstorylab.org/archetypometrics/cards/attractive--repulsive-2000-464-341.pdf
41	rational :: whimsical	whimsical :: rational	rational	whimsical	https://compstorylab.org/archetypometrics/cards/rational--whimsical-2000-464-341.pdf
42	mischievous :: well behaved	well behaved :: mischievous	mischievous	well behaved	https://compstorylab.org/archetypometrics/cards/mischievous--well-behaved-2000-464-341.pdf
43	aloof :: obsessed	obsessed :: aloof	aloof	obsessed	https://compstorylab.org/archetypometrics/cards/aloof--obsessed-2000-464-341.pdf
44	indulgent :: sober	sober :: indulgent	indulgent	sober	https://compstorylab.org/archetypometrics/cards/indulgent--sober-2000-464-341.pdf
45	kinky :: vanilla	vanilla :: kinky	kinky	vanilla	https://compstorylab.org/archetypometrics/cards/kinky--vanilla-2000-464-341.pdf
46	straightforward :: cryptic	cryptic :: straightforward	straightforward	cryptic	https://compstorylab.org/archetypometrics/cards/straightforward--cryptic-2000-464-341.pdf
47	spontaneous :: deliberate	deliberate :: spontaneous	spontaneous	deliberate	https://compstorylab.org/archetypometrics/cards/spontaneous--deliberate-2000-464-341.pdf
48	libertarian :: socialist	socialist :: libertarian	libertarian	socialist	https://compstorylab.org/archetypometrics/cards/libertarian--socialist-2000-464-341.pdf
49	scheduled :: spontaneous	spontaneous :: scheduled	scheduled	spontaneous	https://compstorylab.org/archetypometrics/cards/scheduled--spontaneous-2000-464-341.pdf
50	works hard :: plays hard	plays hard :: works hard	works hard	plays hard	https://compstorylab.org/archetypometrics/cards/works-hard--plays-hard-2000-464-341.pdf
51	reasoned :: instinctual	instinctual :: reasoned	reasoned	instinctual	https://compstorylab.org/archetypometrics/cards/reasoned--instinctual-2000-464-341.pdf
52	focused on the present :: focused on the future	focused on the future :: focused on the present	focused on the present	focused on the future	https://compstorylab.org/archetypometrics/cards/focused-on-the-present--focused-on-the-future-2000-464-341.pdf
53	empirical :: theoretical	theoretical :: empirical	empirical	theoretical	https://compstorylab.org/archetypometrics/cards/empirical--theoretical-2000-464-341.pdf
54	open :: guarded	guarded :: open	open	guarded	https://compstorylab.org/archetypometrics/cards/open--guarded-2000-464-341.pdf
55	methodical :: astonishing	astonishing :: methodical	methodical	astonishing	https://compstorylab.org/archetypometrics/cards/methodical--astonishing-2000-464-341.pdf
56	mighty :: puny	puny :: mighty	mighty	puny	https://compstorylab.org/archetypometrics/cards/mighty--puny-2000-464-341.pdf
57	bossy :: meek	meek :: bossy	bossy	meek	https://compstorylab.org/archetypometrics/cards/bossy--meek-2000-464-341.pdf
58	barbaric :: civilized	civilized :: barbaric	barbaric	civilized	https://compstorylab.org/archetypometrics/cards/barbaric--civilized-2000-464-341.pdf
59	gregarious :: private	private :: gregarious	gregarious	private	https://compstorylab.org/archetypometrics/cards/gregarious--private-2000-464-341.pdf
60	quiet :: loud	loud :: quiet	quiet	loud	https://compstorylab.org/archetypometrics/cards/quiet--loud-2000-464-341.pdf
61	political :: nonpolitical	nonpolitical :: political	political	nonpolitical	https://compstorylab.org/archetypometrics/cards/political--nonpolitical-2000-464-341.pdf
62	confident :: insecure	insecure :: confident	confident	insecure	https://compstorylab.org/archetypometrics/cards/confident--insecure-2000-464-341.pdf
63	democratic :: authoritarian	authoritarian :: democratic	democratic	authoritarian	https://compstorylab.org/archetypometrics/cards/democratic--authoritarian-2000-464-341.pdf
64	debased :: pure	pure :: debased	debased	pure	https://compstorylab.org/archetypometrics/cards/debased--pure-2000-464-341.pdf
65	fast :: slow	slow :: fast	fast	slow	https://compstorylab.org/archetypometrics/cards/fast--slow-2000-464-341.pdf
66	frugal :: lavish	lavish :: frugal	frugal	lavish	https://compstorylab.org/archetypometrics/cards/frugal--lavish-2000-464-341.pdf
67	ludicrous :: sensible	sensible :: ludicrous	ludicrous	sensible	https://compstorylab.org/archetypometrics/cards/ludicrous--sensible-2000-464-341.pdf
68	orange :: purple	purple :: orange	orange	purple	https://compstorylab.org/archetypometrics/cards/orange--purple-2000-464-341.pdf
69	tall :: short	short :: tall	tall	short	https://compstorylab.org/archetypometrics/cards/tall--short-2000-464-341.pdf
70	young :: old	old :: young	young	old	https://compstorylab.org/archetypometrics/cards/young--old-2000-464-341.pdf
71	down2earth :: head@clouds	head@clouds :: down2earth	down2earth	head@clouds	https://compstorylab.org/archetypometrics/cards/down2earth--headclouds-2000-464-341.pdf
72	extrovert :: introvert	introvert :: extrovert	extrovert	introvert	https://compstorylab.org/archetypometrics/cards/extrovert--introvert-2000-464-341.pdf
73	open to new experiences :: uncreative	uncreative :: open to new experiences	open to new experiences	uncreative	https://compstorylab.org/archetypometrics/cards/open-to-new-experiences--uncreative-2000-464-341.pdf
74	calm :: anxious	anxious :: calm	calm	anxious	https://compstorylab.org/archetypometrics/cards/calm--anxious-2000-464-341.pdf
75	disorganized :: self-disciplined	self-disciplined :: disorganized	disorganized	self-disciplined	https://compstorylab.org/archetypometrics/cards/disorganized--self-disciplined-2000-464-341.pdf
76	quarrelsome :: warm	warm :: quarrelsome	quarrelsome	warm	https://compstorylab.org/archetypometrics/cards/quarrelsome--warm-2000-464-341.pdf
77	nerd :: jock	jock :: nerd	nerd	jock	https://compstorylab.org/archetypometrics/cards/nerd--jock-2000-464-341.pdf
78	lowbrow :: highbrow	highbrow :: lowbrow	lowbrow	highbrow	https://compstorylab.org/archetypometrics/cards/lowbrow--highbrow-2000-464-341.pdf
79	selfish :: altruistic	altruistic :: selfish	selfish	altruistic	https://compstorylab.org/archetypometrics/cards/selfish--altruistic-2000-464-341.pdf
80	autistic :: neurotypical	neurotypical :: autistic	autistic	neurotypical	https://compstorylab.org/archetypometrics/cards/autistic--neurotypical-2000-464-341.pdf
81	angelic :: demonic	demonic :: angelic	angelic	demonic	https://compstorylab.org/archetypometrics/cards/angelic--demonic-2000-464-341.pdf
82	hesitant :: decisive	decisive :: hesitant	hesitant	decisive	https://compstorylab.org/archetypometrics/cards/hesitant--decisive-2000-464-341.pdf
83	devout :: heathen	heathen :: devout	devout	heathen	https://compstorylab.org/archetypometrics/cards/devout--heathen-2000-464-341.pdf
84	cruel :: kind	kind :: cruel	cruel	kind	https://compstorylab.org/archetypometrics/cards/cruel--kind-2000-464-341.pdf
85	direct :: roundabout	roundabout :: direct	direct	roundabout	https://compstorylab.org/archetypometrics/cards/direct--roundabout-2000-464-341.pdf
86	mathematical :: literary	literary :: mathematical	mathematical	literary	https://compstorylab.org/archetypometrics/cards/mathematical--literary-2000-464-341.pdf
87	blue-collar :: ivory-tower	ivory-tower :: blue-collar	blue-collar	ivory-tower	https://compstorylab.org/archetypometrics/cards/blue-collar--ivory-tower-2000-464-341.pdf
88	slovenly :: stylish	stylish :: slovenly	slovenly	stylish	https://compstorylab.org/archetypometrics/cards/slovenly--stylish-2000-464-341.pdf
89	playful :: shy	shy :: playful	playful	shy	https://compstorylab.org/archetypometrics/cards/playful--shy-2000-464-341.pdf
90	serious :: bold	bold :: serious	serious	bold	https://compstorylab.org/archetypometrics/cards/serious--bold-2000-464-341.pdf
91	charming :: trusting	trusting :: charming	charming	trusting	https://compstorylab.org/archetypometrics/cards/charming--trusting-2000-464-341.pdf
92	awkward :: suspicious	suspicious :: awkward	awkward	suspicious	https://compstorylab.org/archetypometrics/cards/awkward--suspicious-2000-464-341.pdf
93	hipster :: basic	basic :: hipster	hipster	basic	https://compstorylab.org/archetypometrics/cards/hipster--basic-2000-464-341.pdf
94	coordinated :: clumsy	clumsy :: coordinated	coordinated	clumsy	https://compstorylab.org/archetypometrics/cards/coordinated--clumsy-2000-464-341.pdf
95	funny :: humorless	humorless :: funny	funny	humorless	https://compstorylab.org/archetypometrics/cards/funny--humorless-2000-464-341.pdf
96	politically correct :: edgy	edgy :: politically correct	politically correct	edgy	https://compstorylab.org/archetypometrics/cards/politically-correct--edgy-2000-464-341.pdf
97	rich :: poor	poor :: rich	rich	poor	https://compstorylab.org/archetypometrics/cards/rich--poor-2000-464-341.pdf
98	hard :: soft	soft :: hard	hard	soft	https://compstorylab.org/archetypometrics/cards/hard--soft-2000-464-341.pdf
99	remote :: involved	involved :: remote	remote	involved	https://compstorylab.org/archetypometrics/cards/remote--involved-2000-464-341.pdf
100	metaphorical :: literal	literal :: metaphorical	metaphorical	literal	https://compstorylab.org/archetypometrics/cards/metaphorical--literal-2000-464-341.pdf
101	biased :: impartial	impartial :: biased	biased	impartial	https://compstorylab.org/archetypometrics/cards/biased--impartial-2000-464-341.pdf
102	mundane :: extraordinary	extraordinary :: mundane	mundane	extraordinary	https://compstorylab.org/archetypometrics/cards/mundane--extraordinary-2000-464-341.pdf
103	tiresome :: interesting	interesting :: tiresome	tiresome	interesting	https://compstorylab.org/archetypometrics/cards/tiresome--interesting-2000-464-341.pdf
104	smooth :: rough	rough :: smooth	smooth	rough	https://compstorylab.org/archetypometrics/cards/smooth--rough-2000-464-341.pdf
105	spicy :: mild	mild :: spicy	spicy	mild	https://compstorylab.org/archetypometrics/cards/spicy--mild-2000-464-341.pdf
106	enslaved :: emancipated	emancipated :: enslaved	enslaved	emancipated	https://compstorylab.org/archetypometrics/cards/enslaved--emancipated-2000-464-341.pdf
107	optimistic :: pessimistic	pessimistic :: optimistic	optimistic	pessimistic	https://compstorylab.org/archetypometrics/cards/optimistic--pessimistic-2000-464-341.pdf
108	sickly :: healthy	healthy :: sickly	sickly	healthy	https://compstorylab.org/archetypometrics/cards/sickly--healthy-2000-464-341.pdf
109	luddite :: technophile	technophile :: luddite	luddite	technophile	https://compstorylab.org/archetypometrics/cards/luddite--technophile-2000-464-341.pdf
110	vain :: demure	demure :: vain	vain	demure	https://compstorylab.org/archetypometrics/cards/vain--demure-2000-464-341.pdf
111	high-tech :: low-tech	low-tech :: high-tech	high-tech	low-tech	https://compstorylab.org/archetypometrics/cards/high-tech--low-tech-2000-464-341.pdf
112	flexible :: rigid	rigid :: flexible	flexible	rigid	https://compstorylab.org/archetypometrics/cards/flexible--rigid-2000-464-341.pdf
113	cosmopolitan :: provincial	provincial :: cosmopolitan	cosmopolitan	provincial	https://compstorylab.org/archetypometrics/cards/cosmopolitan--provincial-2000-464-341.pdf
114	arcane :: mainstream	mainstream :: arcane	arcane	mainstream	https://compstorylab.org/archetypometrics/cards/arcane--mainstream-2000-464-341.pdf
115	outlaw :: sheriff	sheriff :: outlaw	outlaw	sheriff	https://compstorylab.org/archetypometrics/cards/outlaw--sheriff-2000-464-341.pdf
116	pronatalist :: child free	child free :: pronatalist	pronatalist	child free	https://compstorylab.org/archetypometrics/cards/pronatalist--child-free-2000-464-341.pdf
117	sad :: happy	happy :: sad	sad	happy	https://compstorylab.org/archetypometrics/cards/sad--happy-2000-464-341.pdf
118	jealous :: compersive	compersive :: jealous	jealous	compersive	https://compstorylab.org/archetypometrics/cards/jealous--compersive-2000-464-341.pdf
119	bitter :: sweet	sweet :: bitter	bitter	sweet	https://compstorylab.org/archetypometrics/cards/bitter--sweet-2000-464-341.pdf
120	resigned :: resistant	resistant :: resigned	resigned	resistant	https://compstorylab.org/archetypometrics/cards/resigned--resistant-2000-464-341.pdf
121	sarcastic :: genuine	genuine :: sarcastic	sarcastic	genuine	https://compstorylab.org/archetypometrics/cards/sarcastic--genuine-2000-464-341.pdf
122	human :: animalistic	animalistic :: human	human	animalistic	https://compstorylab.org/archetypometrics/cards/human--animalistic-2000-464-341.pdf
123	sporty :: bookish	bookish :: sporty	sporty	bookish	https://compstorylab.org/archetypometrics/cards/sporty--bookish-2000-464-341.pdf
124	moderate :: extreme	extreme :: moderate	moderate	extreme	https://compstorylab.org/archetypometrics/cards/moderate--extreme-2000-464-341.pdf
125	angry :: good-humored	good-humored :: angry	angry	good-humored	https://compstorylab.org/archetypometrics/cards/angry--good-humored-2000-464-341.pdf
126	depressed :: bright	bright :: depressed	depressed	bright	https://compstorylab.org/archetypometrics/cards/depressed--bright-2000-464-341.pdf
127	self-conscious :: self-assured	self-assured :: self-conscious	self-conscious	self-assured	https://compstorylab.org/archetypometrics/cards/self-conscious--self-assured-2000-464-341.pdf
128	vulnerable :: armoured	armoured :: vulnerable	vulnerable	armoured	https://compstorylab.org/archetypometrics/cards/vulnerable--armoured-2000-464-341.pdf
129	warm :: cold	cold :: warm	warm	cold	https://compstorylab.org/archetypometrics/cards/warm--cold-2000-464-341.pdf
130	assertive :: passive	passive :: assertive	assertive	passive	https://compstorylab.org/archetypometrics/cards/assertive--passive-2000-464-341.pdf
131	active :: slothful	slothful :: active	active	slothful	https://compstorylab.org/archetypometrics/cards/active--slothful-2000-464-341.pdf
132	imaginative :: practical	practical :: imaginative	imaginative	practical	https://compstorylab.org/archetypometrics/cards/imaginative--practical-2000-464-341.pdf
133	adventurous :: stick-in-the-mud	stick-in-the-mud :: adventurous	adventurous	stick-in-the-mud	https://compstorylab.org/archetypometrics/cards/adventurous--stick-in-the-mud-2000-464-341.pdf
134	obedient :: rebellious	rebellious :: obedient	obedient	rebellious	https://compstorylab.org/archetypometrics/cards/obedient--rebellious-2000-464-341.pdf
135	competent :: incompetent	incompetent :: competent	competent	incompetent	https://compstorylab.org/archetypometrics/cards/competent--incompetent-2000-464-341.pdf
136	unambitious :: driven	driven :: unambitious	unambitious	driven	https://compstorylab.org/archetypometrics/cards/unambitious--driven-2000-464-341.pdf
137	simple :: complicated	complicated :: simple	simple	complicated	https://compstorylab.org/archetypometrics/cards/simple--complicated-2000-464-341.pdf
138	proletariat :: bourgeoisie	bourgeoisie :: proletariat	proletariat	bourgeoisie	https://compstorylab.org/archetypometrics/cards/proletariat--bourgeoisie-2000-464-341.pdf
139	alpha :: beta	beta :: alpha	alpha	beta	https://compstorylab.org/archetypometrics/cards/alpha--beta-2000-464-341.pdf
140	right-brained :: left-brained	left-brained :: right-brained	right-brained	left-brained	https://compstorylab.org/archetypometrics/cards/right-brained--left-brained-2000-464-341.pdf
141	thick-skinned :: sensitive	sensitive :: thick-skinned	thick-skinned	sensitive	https://compstorylab.org/archetypometrics/cards/thick-skinned--sensitive-2000-464-341.pdf
142	charismatic :: uninspiring	uninspiring :: charismatic	charismatic	uninspiring	https://compstorylab.org/archetypometrics/cards/charismatic--uninspiring-2000-464-341.pdf
143	feisty :: gracious	gracious :: feisty	feisty	gracious	https://compstorylab.org/archetypometrics/cards/feisty--gracious-2000-464-341.pdf
144	eloquent :: unpolished	unpolished :: eloquent	eloquent	unpolished	https://compstorylab.org/archetypometrics/cards/eloquent--unpolished-2000-464-341.pdf
145	high IQ :: low IQ	low IQ :: high IQ	high IQ	low IQ	https://compstorylab.org/archetypometrics/cards/high-iq--low-iq-2000-464-341.pdf
146	insider :: outsider	outsider :: insider	insider	outsider	https://compstorylab.org/archetypometrics/cards/insider--outsider-2000-464-341.pdf
147	morning lark :: night owl	night owl :: morning lark	morning lark	night owl	https://compstorylab.org/archetypometrics/cards/morning-lark--night-owl-2000-464-341.pdf
148	thin :: thick	thick :: thin	thin	thick	https://compstorylab.org/archetypometrics/cards/thin--thick-2000-464-341.pdf
149	sheeple :: conspiracist	conspiracist :: sheeple	sheeple	conspiracist	https://compstorylab.org/archetypometrics/cards/sheeple--conspiracist-2000-464-341.pdf
150	neat :: messy	messy :: neat	neat	messy	https://compstorylab.org/archetypometrics/cards/neat--messy-2000-464-341.pdf
151	vague :: precise	precise :: vague	vague	precise	https://compstorylab.org/archetypometrics/cards/vague--precise-2000-464-341.pdf
152	philosophical :: real	real :: philosophical	philosophical	real	https://compstorylab.org/archetypometrics/cards/philosophical--real-2000-464-341.pdf
153	modern :: historical	historical :: modern	modern	historical	https://compstorylab.org/archetypometrics/cards/modern--historical-2000-464-341.pdf
154	judgemental :: accepting	accepting :: judgemental	judgemental	accepting	https://compstorylab.org/archetypometrics/cards/judgemental--accepting-2000-464-341.pdf
155	average :: deviant	deviant :: average	average	deviant	https://compstorylab.org/archetypometrics/cards/average--deviant-2000-464-341.pdf
156	gossiping :: confidential	confidential :: gossiping	gossiping	confidential	https://compstorylab.org/archetypometrics/cards/gossiping--confidential-2000-464-341.pdf
157	official :: backdoor	backdoor :: official	official	backdoor	https://compstorylab.org/archetypometrics/cards/official--backdoor-2000-464-341.pdf
158	scholarly :: crafty	crafty :: scholarly	scholarly	crafty	https://compstorylab.org/archetypometrics/cards/scholarly--crafty-2000-464-341.pdf
159	leisurely :: hurried	hurried :: leisurely	leisurely	hurried	https://compstorylab.org/archetypometrics/cards/leisurely--hurried-2000-464-341.pdf
160	explorer :: builder	builder :: explorer	explorer	builder	https://compstorylab.org/archetypometrics/cards/explorer--builder-2000-464-341.pdf
161	captain :: first-mate	first-mate :: captain	captain	first-mate	https://compstorylab.org/archetypometrics/cards/captain--first-mate-2000-464-341.pdf
162	mysterious :: unambiguous	unambiguous :: mysterious	mysterious	unambiguous	https://compstorylab.org/archetypometrics/cards/mysterious--unambiguous-2000-464-341.pdf
163	independent :: codependent	codependent :: independent	independent	codependent	https://compstorylab.org/archetypometrics/cards/independent--codependent-2000-464-341.pdf
164	family-first :: work-first	work-first :: family-first	family-first	work-first	https://compstorylab.org/archetypometrics/cards/family-first--work-first-2000-464-341.pdf
165	scruffy :: manicured	manicured :: scruffy	scruffy	manicured	https://compstorylab.org/archetypometrics/cards/scruffy--manicured-2000-464-341.pdf
166	wild :: tame	tame :: wild	wild	tame	https://compstorylab.org/archetypometrics/cards/wild--tame-2000-464-341.pdf
167	prestigious :: disreputable	disreputable :: prestigious	prestigious	disreputable	https://compstorylab.org/archetypometrics/cards/prestigious--disreputable-2000-464-341.pdf
168	scandalous :: proper	proper :: scandalous	scandalous	proper	https://compstorylab.org/archetypometrics/cards/scandalous--proper-2000-464-341.pdf
169	unprepared :: hoarder	hoarder :: unprepared	unprepared	hoarder	https://compstorylab.org/archetypometrics/cards/unprepared--hoarder-2000-464-341.pdf
170	sheltered :: street-smart	street-smart :: sheltered	sheltered	street-smart	https://compstorylab.org/archetypometrics/cards/sheltered--street-smart-2000-464-341.pdf
171	open-minded :: close-minded	close-minded :: open-minded	open-minded	close-minded	https://compstorylab.org/archetypometrics/cards/open-minded--close-minded-2000-464-341.pdf
172	permanent :: transient	transient :: permanent	permanent	transient	https://compstorylab.org/archetypometrics/cards/permanent--transient-2000-464-341.pdf
173	dramatic :: no-nonsense	no-nonsense :: dramatic	dramatic	no-nonsense	https://compstorylab.org/archetypometrics/cards/dramatic--no-nonsense-2000-464-341.pdf
174	apprentice :: master	master :: apprentice	apprentice	master	https://compstorylab.org/archetypometrics/cards/apprentice--master-2000-464-341.pdf
175	straight :: queer	queer :: straight	straight	queer	https://compstorylab.org/archetypometrics/cards/straight--queer-2000-464-341.pdf
176	androgynous :: gendered	gendered :: androgynous	androgynous	gendered	https://compstorylab.org/archetypometrics/cards/androgynous--gendered-2000-464-341.pdf
177	repetitive :: varied	varied :: repetitive	repetitive	varied	https://compstorylab.org/archetypometrics/cards/repetitive--varied-2000-464-341.pdf
178	patient :: impatient	impatient :: patient	patient	impatient	https://compstorylab.org/archetypometrics/cards/patient--impatient-2000-464-341.pdf
179	poisonous :: nurturing	nurturing :: poisonous	poisonous	nurturing	https://compstorylab.org/archetypometrics/cards/poisonous--nurturing-2000-464-341.pdf
180	creepy :: disarming	disarming :: creepy	creepy	disarming	https://compstorylab.org/archetypometrics/cards/creepy--disarming-2000-464-341.pdf
181	inspiring :: cringeworthy	cringeworthy :: inspiring	inspiring	cringeworthy	https://compstorylab.org/archetypometrics/cards/inspiring--cringeworthy-2000-464-341.pdf
182	soulless :: soulful	soulful :: soulless	soulless	soulful	https://compstorylab.org/archetypometrics/cards/soulless--soulful-2000-464-341.pdf
183	beautiful :: ugly	ugly :: beautiful	beautiful	ugly	https://compstorylab.org/archetypometrics/cards/beautiful--ugly-2000-464-341.pdf
184	domestic :: industrial	industrial :: domestic	domestic	industrial	https://compstorylab.org/archetypometrics/cards/domestic--industrial-2000-464-341.pdf
185	juvenile :: mature	mature :: juvenile	juvenile	mature	https://compstorylab.org/archetypometrics/cards/juvenile--mature-2000-464-341.pdf
186	idealist :: realist	realist :: idealist	idealist	realist	https://compstorylab.org/archetypometrics/cards/idealist--realist-2000-464-341.pdf
187	nihilist :: existentialist	existentialist :: nihilist	nihilist	existentialist	https://compstorylab.org/archetypometrics/cards/nihilist--existentialist-2000-464-341.pdf
188	objective :: subjective	subjective :: objective	objective	subjective	https://compstorylab.org/archetypometrics/cards/objective--subjective-2000-464-341.pdf
189	theist :: atheist	atheist :: theist	theist	atheist	https://compstorylab.org/archetypometrics/cards/theist--atheist-2000-464-341.pdf
190	classical :: avant-garde	avant-garde :: classical	classical	avant-garde	https://compstorylab.org/archetypometrics/cards/classical--avant-garde-2000-464-341.pdf
191	utilitarian :: decorative	decorative :: utilitarian	utilitarian	decorative	https://compstorylab.org/archetypometrics/cards/utilitarian--decorative-2000-464-341.pdf
192	generalist :: specialist	specialist :: generalist	generalist	specialist	https://compstorylab.org/archetypometrics/cards/generalist--specialist-2000-464-341.pdf
193	multicolored :: monochrome	monochrome :: multicolored	multicolored	monochrome	https://compstorylab.org/archetypometrics/cards/multicolored--monochrome-2000-464-341.pdf
194	complimentary :: insulting	insulting :: complimentary	complimentary	insulting	https://compstorylab.org/archetypometrics/cards/complimentary--insulting-2000-464-341.pdf
195	individualist :: communal	communal :: individualist	individualist	communal	https://compstorylab.org/archetypometrics/cards/individualist--communal-2000-464-341.pdf
196	equitable :: hypocritical	hypocritical :: equitable	equitable	hypocritical	https://compstorylab.org/archetypometrics/cards/equitable--hypocritical-2000-464-341.pdf
197	traditional :: unorthodox	unorthodox :: traditional	traditional	unorthodox	https://compstorylab.org/archetypometrics/cards/traditional--unorthodox-2000-464-341.pdf
198	workaholic :: slacker	slacker :: workaholic	workaholic	slacker	https://compstorylab.org/archetypometrics/cards/workaholic--slacker-2000-464-341.pdf
199	resourceful :: helpless	helpless :: resourceful	resourceful	helpless	https://compstorylab.org/archetypometrics/cards/resourceful--helpless-2000-464-341.pdf
200	crazy :: sane	sane :: crazy	crazy	sane	https://compstorylab.org/archetypometrics/cards/crazy--sane-2000-464-341.pdf
201	anarchist :: statist	statist :: anarchist	anarchist	statist	https://compstorylab.org/archetypometrics/cards/anarchist--statist-2000-464-341.pdf
202	cool :: dorky	dorky :: cool	cool	dorky	https://compstorylab.org/archetypometrics/cards/cool--dorky-2000-464-341.pdf
203	important :: irrelevant	irrelevant :: important	important	irrelevant	https://compstorylab.org/archetypometrics/cards/important--irrelevant-2000-464-341.pdf
